P1,P2,OBC,Comms
0.0,0.093,0.375,0.0
0.078,0.055,0.505,0.0
0.01,0.0,0.347,0.0
0.015,0.05,0.4,0.0
0.0,0.018,0.352,0.0
0.072,0.14,0.415,0.0
0.0,0.038,0.347,0.0
0.0,0.072,0.322,0.002
0.047,0.045,0.373,0.0
0.013,0.112,0.482,0.0
0.03,0.087,0.357,0.02
0.0,0.052,0.44,0.0
0.058,0.0,0.412,0.0
0.0,0.0,0.407,0.047
0.05,0.045,0.345,0.0
0.0,0.027,0.352,0.0
0.03,0.068,0.26,0.0
0.0,0.0,0.327,0.0
0.0,0.018,0.41,0.043
0.0,0.093,0.465,0.0
0.015,0.087,0.43,0.0
0.097,0.065,0.395,0.0
0.0,0.013,0.482,0.0
0.0,0.0,0.395,0.0
0.02,0.047,0.29,0.0
0.0,0.0,0.445,0.002
0.047,0.0,0.495,0.0
0.027,0.207,0.4,0.0
0.0,0.087,0.445,0.0
0.0,0.045,0.343,0.0
0.0,0.068,0.442,0.0
0.138,0.157,0.423,0.0
0.0,0.055,0.39,0.0
0.0,0.155,0.333,0.0
0.063,0.03,0.398,0.0
0.078,0.052,0.345,0.0
0.0,0.0,0.488,0.055
0.0,0.0,0.5,0.055
0.023,0.05,0.308,0.0
0.0,0.05,0.36,0.0
0.0,0.09,0.375,0.0
0.0,0.047,0.375,0.0
0.03,0.087,0.32,0.0
0.05,0.005,0.35,0.072
0.0,0.045,0.39,0.0
0.0,0.043,0.435,0.02
0.027,0.065,0.4,0.0
0.0,0.075,0.33,0.0
0.0,0.065,0.287,0.045
0.0,0.065,0.343,0.058
0.0,0.015,0.44,0.0
0.068,0.095,0.375,0.0
0.0,0.035,0.35,0.0
0.038,0.028,0.39,0.0
0.0,0.063,0.338,0.0
0.002,0.03,0.42,0.0
0.0,0.013,0.347,0.002
0.0,0.0,0.29,0.0
0.0,0.045,0.368,0.0
0.055,0.16,0.527,0.0
0.0,0.072,0.417,0.0
0.0,0.032,0.495,0.007
0.0,0.032,0.468,0.0
0.002,0.087,0.417,0.0
0.013,0.032,0.333,0.0
0.015,0.03,0.407,0.0
0.08,0.123,0.4,0.0
0.0,0.0,0.405,0.0
0.0,0.123,0.42,0.002
0.0,0.018,0.35,0.0
0.0,0.045,0.442,0.0
0.0,0.0,0.298,0.045
0.0,0.0,0.438,0.038
0.0,0.023,0.433,0.038
0.0,0.03,0.352,0.0
0.0,0.093,0.38,0.0
